Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 07:29:39,2023-09-29 07:29:40,1.133s,FAILED
Video,Chrome 117.0.0.0,,,2023-09-29 07:29:42,2023-09-29 07:29:42,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase2/regist new cust but empty cust name,Chrome 117.0.0.0,,,2023-09-29 07:29:42,2023-09-29 07:31:24,1m - 41.979s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:29:42,2023-09-29 07:29:42,0.002s,PASSED
randomNum = RandomStringUtils.randomNumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:29:42,2023-09-29 07:29:42,0.000s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 07:29:42,2023-09-29 07:29:44,1.899s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 07:29:44,2023-09-29 07:30:13,29.017s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 07:30:13,2023-09-29 07:30:14,0.754s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 07:30:14,2023-09-29 07:30:14,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 07:30:14,2023-09-29 07:30:15,0.406s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 07:30:15,2023-09-29 07:30:29,14.581s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 07:30:29,2023-09-29 07:30:30,0.732s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 07:30:30,2023-09-29 07:30:33,2.523s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Biodata_createcustomer-custo_d931ad""), ""customerid"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:33,2023-09-29 07:30:34,1.728s,PASSED
