Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:40:45,2023-09-29 05:40:45,0.339s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:40:45,2023-09-29 05:40:46,0.687s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:40:48,2023-09-29 05:40:48,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except PIC,Chrome 117.0.0.0,,,2023-09-29 05:41:48,2023-09-29 05:43:15,1m - 27.509s,PASSED
"randomText = ""umkm-redundant-"" + RandomStringUtils.randomAlphanumeric(5)",Chrome 117.0.0.0,,,2023-09-29 05:41:48,2023-09-29 05:41:48,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:41:48,2023-09-29 05:41:49,1.803s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:41:49,2023-09-29 05:42:50,1m - 0.596s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:42:50,2023-09-29 05:42:51,0.700s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:42:51,2023-09-29 05:42:51,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:42:51,2023-09-29 05:42:52,0.401s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:42:52,2023-09-29 05:43:05,13.551s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:43:05,2023-09-29 05:43:06,0.801s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:43:06,2023-09-29 05:43:09,3.122s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), randomText)",Chrome 117.0.0.0,,,2023-09-29 05:43:09,2023-09-29 05:43:11,2.026s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:43:11,2023-09-29 05:43:12,0.578s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:43:12,2023-09-29 05:43:12,0.565s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:43:12,2023-09-29 05:43:13,0.867s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:43:15,2023-09-29 05:43:15,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except province,Chrome 117.0.0.0,,,2023-09-29 05:43:15,2023-09-29 05:43:56,40.611s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:43:15,2023-09-29 05:43:15,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:43:15,2023-09-29 05:43:17,1.806s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:43:17,2023-09-29 05:43:37,19.326s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_IDUsername""))",Chrome 117.0.0.0,,,2023-09-29 05:43:37,2023-09-29 05:43:37,0.567s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:43:37,2023-09-29 05:43:38,0.668s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:43:38,2023-09-29 05:43:38,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:43:38,2023-09-29 05:43:39,0.350s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:43:39,2023-09-29 05:43:46,7.816s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:43:46,2023-09-29 05:43:47,0.687s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:43:47,2023-09-29 05:43:49,2.231s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Region_createcustomer-customerregiste_b1824f""), ""provinceaja"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:43:49,2023-09-29 05:43:51,1.904s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:43:51,2023-09-29 05:43:52,0.476s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:43:52,2023-09-29 05:43:52,0.535s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:43:52,2023-09-29 05:43:53,0.865s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:43:53,2023-09-29 05:43:54,0.644s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:43:56,2023-09-29 05:43:56,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except region,Chrome 117.0.0.0,,,2023-09-29 05:43:56,2023-09-29 05:44:30,34.273s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:43:56,2023-09-29 05:43:56,0.002s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:43:56,2023-09-29 05:43:57,1.121s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:43:57,2023-09-29 05:44:12,14.449s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:44:12,2023-09-29 05:44:13,1.475s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Password""))",Chrome 117.0.0.0,,,2023-09-29 05:44:13,2023-09-29 05:44:13,0.351s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:44:13,2023-09-29 05:44:14,0.381s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:44:14,2023-09-29 05:44:14,0.371s,PASSED
